PED,GEN,SRC,HYB,LOC,REP,STC,MST,GWT,TWT,YLD
B73*PH207-B-B-12-1-1-B-B  X PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC500,CRW14,1,69,17.2,23.29,58.9,202.878
B73*PH207-B-B-12-1-1-B-B  X PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC500,CRW14,2,67,18.2,23.02,57.7,198.1042
B73*PH207-B-B-12-1-1-B-B  X PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC500,MRSE,2,70,23.3,26.43,53.3,213.2689
B73*PH207-B-B-12-1-1-B-B  X PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC500,MRSE,1,61,22.8,27,52.6,219.2886
B73*PHG39-B-B-18-1-1-B-B X LH82*PHG47-B-B-18-1-1-B-B-B,F1,UIUC,UIUC515,KYS02,1,71,15.5,21.97,59.1,195.3088
B73*PHG39-B-B-18-1-1-B-B X LH82*PHG47-B-B-18-1-1-B-B-B,F1,UIUC,UIUC515,KYS02,2,65,15.7,22.77,59.4,201.9416
B73*PHG39-B-B-18-1-1-B-B X LH82*PHG47-B-B-18-1-1-B-B-B,F1,UIUC,UIUC515,CRL06,1,66,17.6,17.63,57.5,152.8321
B73*PHG39-B-B-18-1-1-B-B X LH82*PHG47-B-B-18-1-1-B-B-B,F1,UIUC,UIUC515,CRL06,2,70,18.3,25.34,58,217.8029
B73*PHG39-B-B-18-1-1-B-B X LH82*PHG47-B-B-18-1-1-B-B-B,F1,UIUC,UIUC515,BRKAb,1,73,19.8,21.39,55.1,180.4763
B73*PHG39-B-B-18-1-1-B-B X LH82*PHG47-B-B-18-1-1-B-B-B,F1,UIUC,UIUC515,BRKAb,2,69,18.7,24.23,57.4,207.2426
B73*PHG39-B-B-18-1-1-B-B X LH82*PHG47-B-B-18-1-1-B-B-B,F1,UIUC,UIUC515,CRW14,2,73,15.3,19.2,58.6,171.0881
B73*PHG39-B-B-18-1-1-B-B X LH82*PHG47-B-B-18-1-1-B-B-B,F1,UIUC,UIUC515,CRW14,1,70,16.1,21.26,59.5,187.6551
B73*PHG39-B-B-18-1-1-B-B X LH82*PHG47-B-B-18-1-1-B-B-B,F1,UIUC,UIUC515,MRSE,1,72,20.7,26.8,57.1,223.5852
B73*PHG39-B-B-18-1-1-B-B X LH82*PHG47-B-B-18-1-1-B-B-B,F1,UIUC,UIUC515,MRSE,3,64,20.1,24.93,57.1,209.5579
B73*PHG39-B-B-18-1-1-B-B X  PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC502,KYS02,2,57,19.4,25.31,56.2,214.6161
B73*PHG39-B-B-18-1-1-B-B X  PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC502,KYS02,1,61,18.9,28.32,57.1,241.6291
B73*PHG39-B-B-18-1-1-B-B X  PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC502,CRL06,2,72,20.4,21.04,55.4,176.1951
B73*PHG39-B-B-18-1-1-B-B X  PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC502,CRL06,1,76,20.5,21.56,55.4,180.3229
B73*PHG39-B-B-18-1-1-B-B X  PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC502,BRKAb,2,55,20.9,25.09,54.5,208.7912
B73*PHG39-B-B-18-1-1-B-B X  PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC502,BRKAb,1,60,22.4,26.59,54.2,217.0777
B73*PHG39-B-B-18-1-1-B-B X  PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC502,CRW14,1,75,17.6,25.34,57.6,219.6691
B73*PHG39-B-B-18-1-1-B-B X  PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC502,CRW14,2,60,18.3,28.7,58.3,246.6829
B73*PHG39-B-B-18-1-1-B-B X  PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC502,MRSE,3,58,24.4,25.91,51.8,206.0745
B73*PHG39-B-B-18-1-1-B-B X  PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC502,MRSE,2,65,26.1,25.58,51.8,198.8749
B73*PHG39-B-B-18-1-1-B-B X  PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC502,MRSE,1,57,26.4,23.26,51.7,180.1037
